added,collx_id,category,number,name,team,year,brand,set,flags,condition,front_image,back_image,market_value,asking_price,sold_for_price,location,notes
8/19/25,685208914,Baseball,25,Stephen Curry,Golden State Warriors,2023,Panini,2023-24 Panini Mosaic - Montage,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-685208914-front.jpg,,,9.99,,,
8/19/25,685208656,Basketball,157,Magic Johnson,Los Angeles Lakers,1990,,1990-91 Hoops,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-685208656-front.jpg,,2.25,3.99,,,
8/19/25,685208388,Basketball,4,Stephen Curry,Golden State Warriors,2023,Select,2023-24 Panini Select - Select Certified Green Prizms,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-685208388-front.jpg,,4.99,5.99,,,
8/19/25,685208056,Basketball,229,Giannis Antetokounmpo,Milwaukee Bucks,2020,Panini,2020-21 Panini Chronicles,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-685208056-front.jpg,,1.59,4,,,
8/19/25,685207676,Baseball,RR-14,Shaquille O'Neal,Los Angeles Lakers,2023,Topps,2023-24 Topps Chrome - Roundball Royalty,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-685207676-front.jpg,,3.00,5,,,
8/19/25,685207410,Basketball,262,Kevin Durant,Oklahoma City Thunder,2011,,2011-12 Hoops,,Mint,https://storage.googleapis.com/collx-user-cards/354240-685207410-front.jpg,,5.37,6,,,
8/19/25,685207126,Basketball,118,Stephen Curry,Golden State Warriors,2023,Topps,2023-24 Topps Chrome Cosmic,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-685207126-front.jpg,,2.00,,,,
8/19/25,685205735,Baseball,145,Reed Sheppard,Houston Rockets,2024,Panini,2024-25 Panini Revolution,RC,Very Good,https://storage.googleapis.com/collx-user-cards/354240-685205735-front.jpg,,1.75,5,,,
8/19/25,685203852,Basketball,385,Super Streaks,,1990,,1990-91 Hoops,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-685203852-front.jpg,,2.00,7.99,,,
8/19/25,685193503,Multi-sport,NNO,Michael Jordan,Chicago Bulls,1990,,1990 Sport Stars Elite II (unlicensed),,Excellent,https://storage.googleapis.com/collx-user-cards/354240-685193503-front.jpg,,,10,,,
8/19/25,685188022,Basketball,83,Michael Jordan,Chicago Bulls,1999,Upper Deck,1999-00 Upper Deck Legends,,Mint,https://storage.googleapis.com/collx-user-cards/354240-685188022-front.jpg,https://storage.googleapis.com/collx-user-cards/354240-685188022-back.jpg,4.92,,,,
8/19/25,685186506,Basketball,391,Michael Jordan,Chicago Bulls,1999,Upper Deck,1999-00 Upper Deck Victory,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-685186506-front.jpg,https://storage.googleapis.com/collx-user-cards/354240-685186506-back.jpg,1.59,,,,
8/19/25,685179202,Basketball,1,Michael Jordan,Chicago Bulls,1995,,1995-96 Stadium Club,,Mint,https://storage.googleapis.com/collx-user-cards/354240-685179202-front.jpg,,22.54,,,,
8/19/25,685172939,Basketball,R2,Caitlin Clark,Iowa Hawkeyes,2024,Panini,2024 Panini Caitlin Clark Collection - Raining 3s Target,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-685172939-front.jpg,,6.00,,,,
8/19/25,685171385,Baseball,217,Roki Sasaki,Los Angeles Dodgers,2025,Topps,2025 Topps Chrome,RC,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-685171385-front.jpg,,2.25,,,,
8/18/25,684908422,Football,245,Rob Johnson,Jacksonville Jaguars,1995,Score,1995 Score,RC,Very Good,https://storage.googleapis.com/collx-user-cards/354240-684908422-front.jpg,,0.60,1,,,
8/17/25,684182720,Football,200,Chris Olave,New Orleans Saints,2024,Score,2024 Score-A-Treat - A-Treat - Green Bats,,Mint,https://storage.googleapis.com/collx-user-cards/354240-684182720-front.jpg,,3.33,4,,,
8/17/25,684182477,Football,132,Anthony Greene,Barcelona Dragons,1992,,1992 Wild Card WLAF,,Mint,https://storage.googleapis.com/collx-user-cards/354240-684182477-front.jpg,,2.66,2.66,,,
8/17/25,684182322,Football,21,Renaldo Turnbull,New Orleans Saints,1994,,1994 Coca-Cola Monsters of the Gridiron,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-684182322-front.jpg,,1.60,1.6,,,
8/17/25,684180166,Baseball,242,Dan Hampton,Chicago Bears,2024,Prizm,2024 Panini Select - Silver Prizm,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-684180166-front.jpg,,,2,,,
8/17/25,684179200,Football,82,Joe Alt,Los Angeles Chargers,2024,Panini,2024 Panini Select - Maroon Prizm,"RC, SN149",Very Good,https://storage.googleapis.com/collx-user-cards/354240-684179200-front.jpg,,,1,,,
8/17/25,684174749,Baseball,78,Stefon Diggs,Houston Texans,2024,Optic,2024 Donruss Optic,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-684174749-front.jpg,,,1.5,,,
8/17/25,684171940,Football,100,Sam Howell,Washington Commanders,2023,Panini,2023 Panini Contenders,,Excellent,https://storage.googleapis.com/collx-user-cards/354240-684171940-front.jpg,,1.45,1.45,,,
8/17/25,684170236,Football,92,Baker Mayfield,Tampa Bay Buccaneers,2023,Panini,2023 Panini Contenders,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-684170236-front.jpg,,1.50,2.79,,,
8/17/25,684168994,Football,34,Amon-Ra St. Brown,Detroit Lions,2023,Panini,2023 Panini Contenders - Season Ticket Retail,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-684168994-front.jpg,,1.39,1.39,,,
8/17/25,684167454,Football,76,Kayvon Thibodeaux,New York Giants,2023,Panini,2023 Panini Contenders,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-684167454-front.jpg,,1.43,1.49,,,
8/17/25,684122048,Football,71,Rhamondre Stevenson,New England Patriots,2023,Panini,2023 Panini Contenders,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-684122048-front.jpg,,1.25,1.25,,,
8/17/25,684120198,Football,18,DJ Moore,Chicago Bears,2023,Panini,2023 Panini Contenders,,Near Mint,https://storage.googleapis.com/collx-user-cards/354240-684120198-front.jpg,,1.99,2,,Missouri,
8/17/25,684118155,Baseball,119,Byron Young (LB),Los Angeles Rams,2024,Donruss,2024 Donruss Optic - Footballs,SN16,Very Good,https://storage.googleapis.com/collx-user-cards/354240-684118155-front.jpg,,,5,,,
8/17/25,684115087,Football,23,Curtis Samuel,Buffalo Bills,2024,Prizm,2024 Panini Select - White Prizm,SN35,Excellent,https://storage.googleapis.com/collx-user-cards/354240-684115087-front.jpg,,,,,,
8/17/25,684113006,Football,17,Chase Claypool,Miami Dolphins,2023,Panini,2023 Panini Contenders,,Very Good,https://storage.googleapis.com/collx-user-cards/354240-684113006-front.jpg,,0.75,0.75,,,
